"","Age","grade","Sex","YearGroup","category","AvgDeathsPer100k","AvgDeathsPer100k_impute"
"247",42,"More Strict","Males","2001-2014","Firearm",9.60090437814762,10.802643283976
"248",42,"More Strict","Males","2015-2021","Firearm",9.19224850636802,11.8401998285521
"249",43,"Less Strict","Females","2001-2014","Firearm",0.348934180545524,3.3269197248629
"250",43,"Less Strict","Females","2015-2021","Firearm",0.729439294603025,3.37614413040638
"251",43,"Less Strict","Males","2001-2014","Firearm",14.5752596641225,18.9533550717604
"252",43,"Less Strict","Males","2015-2021","Firearm",15.9278316184462,23.1256365739224
"253",43,"More Strict","Females","2001-2014","Firearm",0,1.43994104711948
"254",43,"More Strict","Females","2015-2021","Firearm",0,1.37459630277003
"255",43,"More Strict","Males","2001-2014","Firearm",10.151095821593,10.8846374882615
"256",43,"More Strict","Males","2015-2021","Firearm",8.84133685770959,12.4921776018568
"257",44,"Less Strict","Females","2001-2014","Firearm",0.339023963569841,3.48177952596479
"258",44,"Less Strict","Females","2015-2021","Firearm",0.64574746237391,3.60126958190335
"259",44,"Less Strict","Males","2001-2014","Firearm",16.2416276421856,19.3247096933531
"260",44,"Less Strict","Males","2015-2021","Firearm",16.2752456277202,22.7319712383219
"261",44,"More Strict","Females","2001-2014","Firearm",0,1.4545182339147
"262",44,"More Strict","Females","2015-2021","Firearm",0,1.30442487907082
"263",44,"More Strict","Males","2001-2014","Firearm",10.1836239435059,11.5296429150006
"264",44,"More Strict","Males","2015-2021","Firearm",9.75955436855683,13.4502248797651
"265",45,"Less Strict","Females","2001-2014","Firearm",0.930748225761195,3.44035673260304
"266",45,"Less Strict","Females","2015-2021","Firearm",0,3.67151273270693
"267",45,"Less Strict","Males","2001-2014","Firearm",16.0578021458928,18.8917511371453
"268",45,"Less Strict","Males","2015-2021","Firearm",17.9501037678925,22.3792885094597
"269",45,"More Strict","Females","2001-2014","Firearm",0,1.50080195025951
"270",45,"More Strict","Females","2015-2021","Firearm",0,1.42824832164834
"271",45,"More Strict","Males","2001-2014","Firearm",10.276625908417,11.5370773480582
"272",45,"More Strict","Males","2015-2021","Firearm",9.06039992056134,12.7255838499998
"273",46,"Less Strict","Females","2001-2014","Firearm",0,3.4828562780831
"274",46,"Less Strict","Females","2015-2021","Firearm",0.67029699519263,3.74493149649379
"275",46,"Less Strict","Males","2001-2014","Firearm",16.436775213018,19.1663253715745
"276",46,"Less Strict","Males","2015-2021","Firearm",16.6897105103654,22.7191606473611
"277",46,"More Strict","Females","2001-2014","Firearm",0,1.52303547217956
"278",46,"More Strict","Females","2015-2021","Firearm",0,1.30855291637832
"279",46,"More Strict","Males","2001-2014","Firearm",11.1858011122085,11.541530534254
"280",46,"More Strict","Males","2015-2021","Firearm",10.4609451542014,12.6373169723721
"281",47,"Less Strict","Females","2001-2014","Firearm",0.437904103380401,3.51916389155075
"282",47,"Less Strict","Females","2015-2021","Firearm",0,3.54316857877993
"283",47,"Less Strict","Males","2001-2014","Firearm",16.5761471230447,19.064443567331
"284",47,"Less Strict","Males","2015-2021","Firearm",15.7329968461571,22.2750889167698
"285",47,"More Strict","Females","2001-2014","Firearm",0,1.55016000265955
"286",47,"More Strict","Females","2015-2021","Firearm",0,1.42686201651604
"287",47,"More Strict","Males","2001-2014","Firearm",10.6978148604566,11.9528699318331
"288",47,"More Strict","Males","2015-2021","Firearm",10.9456789507666,12.5989179552127
"289",48,"Less Strict","Females","2001-2014","Firearm",1.00855506836743,3.48813912417122
"290",48,"Less Strict","Females","2015-2021","Firearm",0.659772484056598,3.63274258681516
"291",48,"Less Strict","Males","2001-2014","Firearm",17.6458064001445,18.8007320379287
"292",48,"Less Strict","Males","2015-2021","Firearm",17.7948846265314,22.8289536633246
"293",48,"More Strict","Females","2001-2014","Firearm",0,1.51867945957246
"294",48,"More Strict","Females","2015-2021","Firearm",0,1.36237719683323
"295",48,"More Strict","Males","2001-2014","Firearm",12.1713797655795,11.5839540002784
"296",48,"More Strict","Males","2015-2021","Firearm",11.1597536738007,12.617249854277
"297",49,"Less Strict","Females","2001-2014","Firearm",0.923555840062063,3.16637247567142
"298",49,"Less Strict","Females","2015-2021","Firearm",0,3.78966776299919
"299",49,"Less Strict","Males","2001-2014","Firearm",17.8500066243959,18.0382675579169
"300",49,"Less Strict","Males","2015-2021","Firearm",17.3141719655137,21.9886189027944
"301",49,"More Strict","Females","2001-2014","Firearm",0,1.43952501106805
"302",49,"More Strict","Females","2015-2021","Firearm",0,1.42896694620833
"303",49,"More Strict","Males","2001-2014","Firearm",11.3918840211167,12.693628583345
"304",49,"More Strict","Males","2015-2021","Firearm",10.7670961504989,13.6164882055681
"305",50,"Less Strict","Females","2001-2014","Firearm",1.1169013136714,3.17604474810815
"306",50,"Less Strict","Females","2015-2021","Firearm",0,3.72213074918853
"307",50,"Less Strict","Males","2001-2014","Firearm",18.5876465923747,18.1825186724211
"308",50,"Less Strict","Males","2015-2021","Firearm",18.3991205464076,23.035351543272
"309",50,"More Strict","Females","2001-2014","Firearm",0,1.59577425102032
"310",50,"More Strict","Females","2015-2021","Firearm",0,1.34220848958713
"311",50,"More Strict","Males","2001-2014","Firearm",13.2752930323676,12.5309475939081
"312",50,"More Strict","Males","2015-2021","Firearm",12.1482020510615,13.6267242774288
"313",51,"Less Strict","Females","2001-2014","Firearm",0.349422658471117,3.30684279525035
"314",51,"Less Strict","Females","2015-2021","Firearm",0.903348301540948,3.86038565089767
"315",51,"Less Strict","Males","2001-2014","Firearm",18.2147134105148,18.785424173015
"316",51,"Less Strict","Males","2015-2021","Firearm",18.501374421743,23.1167827843014
"317",51,"More Strict","Females","2001-2014","Firearm",0.25743615047143,1.64523690753374
"318",51,"More Strict","Females","2015-2021","Firearm",0,1.37488605631808
"319",51,"More Strict","Males","2001-2014","Firearm",12.686927381624,13.0799266418762
"320",51,"More Strict","Males","2015-2021","Firearm",11.8708487898531,13.1983631979403
"321",52,"Less Strict","Females","2001-2014","Firearm",0.302452435573851,3.29593243162262
"322",52,"Less Strict","Females","2015-2021","Firearm",2.07732953622674,3.64134284479566
"323",52,"Less Strict","Males","2001-2014","Firearm",19.9998107770859,18.8879857226041
"324",52,"Less Strict","Males","2015-2021","Firearm",18.4628435902448,22.1752235796954
"325",52,"More Strict","Females","2001-2014","Firearm",0,1.90671752726379
"326",52,"More Strict","Females","2015-2021","Firearm",0,1.49556497006151
"327",52,"More Strict","Males","2001-2014","Firearm",13.1530921275455,13.2591920284756
"328",52,"More Strict","Males","2015-2021","Firearm",12.9247392433858,13.3807664699249
"329",53,"Less Strict","Females","2001-2014","Firearm",0.311682612349114,3.28335982562779
"330",53,"Less Strict","Females","2015-2021","Firearm",2.10382190522112,3.77051826555465
"331",53,"Less Strict","Males","2001-2014","Firearm",20.4774657619805,19.3052679503174
"332",53,"Less Strict","Males","2015-2021","Firearm",19.6911058760522,22.4359939669849
"333",53,"More Strict","Females","2001-2014","Firearm",0,1.8986697741562
"334",53,"More Strict","Females","2015-2021","Firearm",0,1.47011403248991
"335",53,"More Strict","Males","2001-2014","Firearm",14.0039812620048,13.1888906061237
"336",53,"More Strict","Males","2015-2021","Firearm",13.3386290220914,13.5155884896232
"337",54,"Less Strict","Females","2001-2014","Firearm",0.372364358524817,3.01697981532109
"338",54,"Less Strict","Females","2015-2021","Firearm",2.69418325834523,3.57194834331374
"339",54,"Less Strict","Males","2001-2014","Firearm",20.2512206902032,16.1785657523283
"340",54,"Less Strict","Males","2015-2021","Firearm",21.4845641011141,23.2658709246411
"341",54,"More Strict","Females","2001-2014","Firearm",0,1.71568256705096
"342",54,"More Strict","Females","2015-2021","Firearm",0,1.50220015276805
"343",54,"More Strict","Males","2001-2014","Firearm",14.2897615903774,12.2390644801974
"344",54,"More Strict","Males","2015-2021","Firearm",14.4204927103164,13.6933031724067
"345",55,"Less Strict","Females","2001-2014","Firearm",0.323156698036565,3.07706796450555
"346",55,"Less Strict","Females","2015-2021","Firearm",1.06642778684241,3.65692064707932
"347",55,"Less Strict","Males","2001-2014","Firearm",19.6820176391981,16.7482387050468
"348",55,"Less Strict","Males","2015-2021","Firearm",21.709971345076,21.8145401629177
"349",55,"More Strict","Females","2001-2014","Firearm",0,1.94139515978015
"350",55,"More Strict","Females","2015-2021","Firearm",0,1.54420628279629
"351",55,"More Strict","Males","2001-2014","Firearm",13.4453770421919,12.9377612821321
"352",55,"More Strict","Males","2015-2021","Firearm",12.7340851849154,15.070097835294
"353",56,"Less Strict","Females","2001-2014","Firearm",0,3.18185226679327
"354",56,"Less Strict","Females","2015-2021","Firearm",1.5513182832977,3.69456598518432
"355",56,"Less Strict","Males","2001-2014","Firearm",20.827759726339,17.1624749181589
"356",56,"Less Strict","Males","2015-2021","Firearm",21.7786206616204,22.1015951826323
"357",56,"More Strict","Females","2001-2014","Firearm",0,2.01697638599684
