"","AgeGroup","grade","Sex","YearGroup","AvgDeathsPer100k","category"
"152","51–60","More Strict","Males","2015-2021",26.8191191659254,"All"
"153","61-70","Less Strict","Females","2001-2014",12.3920282630131,"All"
"154","61-70","Less Strict","Females","2015-2021",12.1067332088596,"All"
"155","61-70","Less Strict","Males","2001-2014",29.6199719971545,"All"
"156","61-70","Less Strict","Males","2015-2021",30.3553660947928,"All"
"157","61-70","More Strict","Females","2001-2014",9.66204358988988,"All"
"158","61-70","More Strict","Females","2015-2021",9.13317382594922,"All"
"159","61-70","More Strict","Males","2001-2014",22.3087738269209,"All"
"160","61-70","More Strict","Males","2015-2021",23.2249828540942,"All"
"161","71-80","Less Strict","Females","2001-2014",11.5388898133267,"All"
"162","71-80","Less Strict","Females","2015-2021",12.0338017202973,"All"
"163","71-80","Less Strict","Males","2001-2014",42.6650477793248,"All"
"164","71-80","Less Strict","Males","2015-2021",39.4633060045005,"All"
"165","71-80","More Strict","Females","2001-2014",10.3847938776009,"All"
"166","71-80","More Strict","Females","2015-2021",10.7534890072353,"All"
"167","71-80","More Strict","Males","2001-2014",31.0431822045118,"All"
"168","71-80","More Strict","Males","2015-2021",28.8274629587756,"All"
