"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","20 to 24","West Virginia","30","110,551","27.14","--","1,291"
"2021","20 to 24","Wisconsin","83","393,491","21.09","--","3,563"
"2021","20 to 24","Wyoming","17**","37,645","45.16**","--","719"
"2021","25 to 29","Alabama","82","324,499","25.27","--","3,122"
"2021","25 to 29","Alaska","26","55,564","46.79","--","989"
"2021","25 to 29","Arizona","158","502,670","31.43","--","5,997"
"2021","25 to 29","Arkansas","53","194,850","27.20","--","2,010"
"2021","25 to 29","California","376","2,835,293","13.26","--","14,274"
"2021","25 to 29","Colorado","133","444,049","29.95","--","5,051"
"2021","25 to 29","Connecticut","32","225,757","14.18","--","1,203"
"2021","25 to 29","Delaware","12**","61,373","19.55**","--","462"
"2021","25 to 29","District of Columbia","--","70,000","--","--","--"
"2021","25 to 29","Florida","259","1,333,903","19.42","--","9,833"
"2021","25 to 29","Georgia","158","740,675","21.33","--","5,992"
"2021","25 to 29","Hawaii","17**","94,435","18.00**","--","636"
"2021","25 to 29","Idaho","41","123,798","33.12","--","1,570"
"2021","25 to 29","Illinois","166","851,195","19.50","--","6,307"
"2021","25 to 29","Indiana","122","450,441","27.09","--","4,644"
"2021","25 to 29","Iowa","47","201,615","23.31","--","1,780"
"2021","25 to 29","Kansas","55","191,132","28.78","--","2,093"
"2021","25 to 29","Kentucky","61","295,230","20.66","--","2,320"
"2021","25 to 29","Louisiana","52","304,177","17.10","--","1,964"
"2021","25 to 29","Maine","17**","80,477","21.12**","--","636"
"2021","25 to 29","Maryland","49","394,216","12.43","--","1,879"
"2021","25 to 29","Massachusetts","46","486,786","9.45","--","1,750"
"2021","25 to 29","Michigan","140","662,063","21.15","--","5,313"
"2021","25 to 29","Minnesota","85","367,229","23.15","--","3,200"
"2021","25 to 29","Mississippi","43","190,771","22.54","--","1,634"
"2021","25 to 29","Missouri","126","403,903","31.20","--","4,793"
"2021","25 to 29","Montana","31","71,769","43.19","--","1,172"
"2021","25 to 29","Nebraska","31","127,674","24.28","--","1,181"
"2021","25 to 29","Nevada","56","220,017","25.45","--","2,116"
"2021","25 to 29","New Hampshire","18**","87,424","20.59**","--","680"
"2021","25 to 29","New Jersey","46","582,195","7.90","--","1,757"
"2021","25 to 29","New Mexico","59","139,522","42.29","--","2,231"
"2021","25 to 29","New York","155","1,376,840","11.26","--","5,881"
"2021","25 to 29","North Carolina","124","700,796","17.69","--","4,722"
"2021","25 to 29","North Dakota","17**","55,686","30.53**","--","652"
"2021","25 to 29","Ohio","165","769,537","21.44","--","6,256"
"2021","25 to 29","Oklahoma","74","266,904","27.73","--","2,787"
"2021","25 to 29","Oregon","73","288,096","25.34","--","2,784"
"2021","25 to 29","Pennsylvania","159","823,372","19.31","--","6,057"
"2021","25 to 29","Rhode Island","--","73,921","--","--","--"
"2021","25 to 29","South Carolina","68","328,754","20.68","--","2,582"
"2021","25 to 29","South Dakota","23","56,249","40.89","--","883"
"2021","25 to 29","Tennessee","131","481,067","27.23","--","4,962"
"2021","25 to 29","Texas","386","2,104,070","18.35","--","14,676"
"2021","25 to 29","Utah","60","254,187","23.61","--","2,275"
"2021","25 to 29","Vermont","17**","38,512","44.14**","--","642"
"2021","25 to 29","Virginia","105","581,530","18.06","--","3,993"
"2021","25 to 29","Washington","126","563,988","22.34","--","4,772"
"2021","25 to 29","West Virginia","25","105,856","23.62","--","943"
"2021","25 to 29","Wisconsin","89","372,949","23.86","--","3,380"
"2021","25 to 29","Wyoming","15**","35,461","42.30**","--","557"
"2021","30 to 34","Alabama","80","331,924","24.10","--","2,654"
"2021","30 to 34","Alaska","26","57,990","44.84","--","859"
"2021","30 to 34","Arizona","125","498,422","25.08","--","4,134"
"2021","30 to 34","Arkansas","64","198,793","32.19","--","2,121"
"2021","30 to 34","California","411","3,004,349","13.68","--","13,626"
"2021","30 to 34","Colorado","147","464,675","31.64","--","4,829"
"2021","30 to 34","Connecticut","24","227,190","10.56","--","781"
"2021","30 to 34","Delaware","10**","66,985","14.93**","--","330"
"2021","30 to 34","District of Columbia","--","75,726","--","--","--"
"2021","30 to 34","Florida","226","1,432,118","15.78","--","7,491"
"2021","30 to 34","Georgia","155","753,478","20.57","--","5,129"
"2021","30 to 34","Hawaii","20**","100,019","20.00**","--","669"
"2021","30 to 34","Idaho","47","125,066","37.58","--","1,557"
"2021","30 to 34","Illinois","109","862,395","12.64","--","3,578"
"2021","30 to 34","Indiana","92","443,576","20.74","--","3,029"
"2021","30 to 34","Iowa","49","195,950","25.01","--","1,625"
"2021","30 to 34","Kansas","68","186,766","36.41","--","2,248"
"2021","30 to 34","Kentucky","79","293,947","26.88","--","2,617"
"2021","30 to 34","Louisiana","65","322,320","20.17","--","2,150"
"2021","30 to 34","Maine","37","86,135","42.96","--","1,211"
"2021","30 to 34","Maryland","50","427,577","11.69","--","1,650"
"2021","30 to 34","Massachusetts","59","497,307","11.86","--","1,946"
"2021","30 to 34","Michigan","139","654,675","21.23","--","4,557"
"2021","30 to 34","Minnesota","80","381,088","20.99","--","2,657"
"2021","30 to 34","Mississippi","52","189,996","27.37","--","1,719"
"2021","30 to 34","Missouri","130","408,857","31.80","--","4,296"
"2021","30 to 34","Montana","27","71,586","37.72","--","910"
"2021","30 to 34","Nebraska","33","125,205","26.36","--","1,090"
"2021","30 to 34","Nevada","50","234,661","21.31","--","1,652"
"2021","30 to 34","New Hampshire","16**","90,884","17.61**","--","539"
"2021","30 to 34","New Jersey","51","606,602","8.41","--","1,668"
"2021","30 to 34","New Mexico","53","141,464","37.47","--","1,743"
"2021","30 to 34","New York","168","1,428,548","11.76","--","5,549"
"2021","30 to 34","North Carolina","132","712,293","18.53","--","4,376"
"2021","30 to 34","North Dakota","14**","55,286","25.32**","--","469"
"2021","30 to 34","Ohio","171","783,981","21.81","--","5,651"
"2021","30 to 34","Oklahoma","75","270,026","27.78","--","2,477"
"2021","30 to 34","Oregon","89","309,756","28.73","--","2,948"
"2021","30 to 34","Pennsylvania","160","878,708","18.21","--","5,279"
"2021","30 to 34","Rhode Island","--","78,831","--","--","--"
"2021","30 to 34","South Carolina","67","344,432","19.45","--","2,219"
"2021","30 to 34","South Dakota","21","56,922","36.89","--","703"
"2021","30 to 34","Tennessee","120","482,000","24.90","--","3,945"
"2021","30 to 34","Texas","438","2,153,866","20.34","--","14,463"
"2021","30 to 34","Utah","56","234,501","23.88","--","1,851"
"2021","30 to 34","Vermont","--","39,147","--","--","--"
"2021","30 to 34","Virginia","96","597,515","16.07","--","3,183"
"2021","30 to 34","Washington","114","609,397","18.71","--","3,786"
"2021","30 to 34","West Virginia","33","106,980","30.85","--","1,103"
"2021","30 to 34","Wisconsin","75","364,608","20.57","--","2,470"
"2021","30 to 34","Wyoming","13**","38,105","34.12**","--","434"
"2021","35 to 39","Alabama","60","312,505","19.20","--","1,667"
"2021","35 to 39","Alaska","31","55,180","56.18","--","864"
"2021","35 to 39","Arizona","123","469,891","26.18","--","3,452"
"2021","35 to 39","Arkansas","64","192,023","33.33","--","1,815"
"2021","35 to 39","California","357","2,816,062","12.68","--","9,995"
"2021","35 to 39","Colorado","134","442,586","30.28","--","3,735"
"2021","35 to 39","Connecticut","23","231,484","9.94","--","653"
"2021","35 to 39","Delaware","11**","62,391","17.63**","--","304"
"2021","35 to 39","District of Columbia","--","62,880","--","--","--"
"2021","35 to 39","Florida","246","1,384,610","17.77","--","6,881"
"2021","35 to 39","Georgia","128","722,510","17.72","--","3,587"
"2021","35 to 39","Hawaii","23","99,159","23.20","--","644"
"2021","35 to 39","Idaho","40","126,336","31.66","--","1,124"
"2021","35 to 39","Illinois","123","856,166","14.37","--","3,455"
"2021","35 to 39","Indiana","118","432,969","27.25","--","3,308"
"2021","35 to 39","Iowa","59","204,910","28.79","--","1,646"
"2021","35 to 39","Kansas","52","193,827","26.83","--","1,461"
"2021","35 to 39","Kentucky","74","279,983","26.43","--","2,046"
"2021","35 to 39","Louisiana","71","315,660","22.49","--","1,982"
"2021","35 to 39","Maine","23","84,538","27.21","--","646"
"2021","35 to 39","Maryland","41","425,846","9.63","--","1,160"
"2021","35 to 39","Massachusetts","51","469,335","10.87","--","1,416"
"2021","35 to 39","Michigan","107","611,457","17.50","--","3,009"
"2021","35 to 39","Minnesota","72","398,280","18.08","--","1,994"
"2021","35 to 39","Mississippi","41","184,460","22.23","--","1,140"
"2021","35 to 39","Missouri","103","403,116","25.55","--","2,891"
"2021","35 to 39","Montana","29","72,156","40.19","--","821"
"2021","35 to 39","Nebraska","22","132,284","16.63","--","613"
"2021","35 to 39","Nevada","55","223,523","24.61","--","1,540"
"2021","35 to 39","New Hampshire","15**","87,304","17.18**","--","416"
"2021","35 to 39","New Jersey","55","614,917","8.94","--","1,543"
"2021","35 to 39","New Mexico","50","140,182","35.67","--","1,414"
"2021","35 to 39","New York","142","1,322,206","10.74","--","3,979"
"2021","35 to 39","North Carolina","101","671,717","15.04","--","2,823"
"2021","35 to 39","North Dakota","13**","53,380","24.35**","--","371"
"2021","35 to 39","Ohio","164","742,208","22.10","--","4,590"
"2021","35 to 39","Oklahoma","89","268,756","33.12","--","2,486"
"2021","35 to 39","Oregon","64","304,056","21.05","--","1,785"
"2021","35 to 39","Pennsylvania","172","831,343","20.69","--","4,837"
"2021","35 to 39","Rhode Island","11**","70,939","15.51**","--","304"
"2021","35 to 39","South Carolina","52","325,113","15.99","--","1,449"
"2021","35 to 39","South Dakota","--","57,957","--","--","--"
