"Age","Year","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"8","2002","Males","0**","2,058,954","0.00**","--","--"
"8","2002","Females","0**","1,962,013","0.00**","--","--"
"8","2001","Males","0**","2,101,358","0.00**","--","--"
"8","2001","Females","0**","1,998,187","0.00**","--","--"
"9","2021","Males","0**","2,077,270","0.00**","--","--"
"9","2021","Females","0**","1,981,345","0.00**","--","--"
"9","2020","Males","0**","2,103,301","0.00**","--","--"
"9","2020","Females","0**","1,996,770","0.00**","--","--"
"9","2019","Males","0**","2,075,719","0.00**","--","--"
"9","2019","Females","0**","1,991,601","0.00**","--","--"
"9","2018","Males","0**","2,070,373","0.00**","--","--"
"9","2018","Females","0**","1,987,834","0.00**","--","--"
"9","2017","Males","--","2,130,968","--","--","--"
"9","2017","Females","0**","2,044,117","0.00**","--","--"
"9","2016","Males","0**","2,136,011","0.00**","--","--"
"9","2016","Females","0**","2,045,058","0.00**","--","--"
"9","2015","Males","0**","2,111,955","0.00**","--","--"
"9","2015","Females","0**","2,021,471","0.00**","--","--"
"9","2014","Males","0**","2,097,377","0.00**","--","--"
"9","2014","Females","0**","2,010,609","0.00**","--","--"
"9","2013","Males","--","2,094,266","--","--","--"
"9","2013","Females","0**","2,010,171","0.00**","--","--"
"9","2012","Males","--","2,072,917","--","--","--"
"9","2012","Females","0**","1,990,745","0.00**","--","--"
"9","2011","Males","--","2,059,259","--","--","--"
"9","2011","Females","0**","1,976,595","0.00**","--","--"
"9","2010","Males","--","2,119,702","--","--","--"
"9","2010","Females","0**","2,028,667","0.00**","--","--"
"9","2009","Males","0**","2,041,124","0.00**","--","--"
"9","2009","Females","0**","1,945,940","0.00**","--","--"
"9","2008","Males","0**","2,002,081","0.00**","--","--"
"9","2008","Females","0**","1,911,273","0.00**","--","--"
"9","2007","Males","0**","1,994,548","0.00**","--","--"
"9","2007","Females","0**","1,902,314","0.00**","--","--"
"9","2006","Males","0**","1,994,868","0.00**","--","--"
"9","2006","Females","0**","1,906,875","0.00**","--","--"
"9","2005","Males","0**","2,030,886","0.00**","--","--"
"9","2005","Females","0**","1,936,191","0.00**","--","--"
"9","2004","Males","0**","2,059,112","0.00**","--","--"
"9","2004","Females","0**","1,959,602","0.00**","--","--"
